Table with column headers in rows 3 and 4											
State FIPS Code	County FIPS Code	Postal Code	Name	Poverty Percent, All Ages	Median Household Income	Image Found?	Headline Type	Headline	Sentiment Rating	Publisher	Date
49	051	UT	Wasatch County	5.0	115,793	0020.jpg	Bad	Provo parents arrested after they allegedly had sex with their 15-year-old child, claimed it was 'safer'	-0.6660	ABC4 Utah	2024-03-10 19:30:21
34	035	NJ	Somerset County	5.1	134,735	0021.jpg	Bad	NJ man accused of trying to kill person after fight, causing serious injury	-0.8270	New Jersey 101.5	2024-03-28 19:33:20
51	127	VA	New Kent County	5.1	115,627	0022.jpg	Bad	Man sentenced for arranging cocaine shipment in New Kent	-0.3050	Richmond Times-Dispatch	2024-02-29 19:37:08
18	011	IN	Boone County	5.2	102,805	0024.jpg	Bad	Tornadoes, storms leave widespread damage in Indiana	-0.2910	WTHR	2023-06-30 19:30:32
29	183	MO	St. Charles County	5.2	98,925	0025.jpg	Bad	St. Charles County man sold hundreds of guns illegally, including dozens used in crimes	-0.3370	STLtoday.com	2024-03-06T13:00:00Z
39	159	OH	Union County	5.2	104,512	0026.jpg	Bad	Couple found dead at their Marysville home in suspected murder-suicide	-0.4490	The Columbus Dispatch	2023-11-30 19:33:28
51	085	VA	Hanover County	5.2	103,639	0027.jpg	Bad	She dialed 911 when her brother was in mental health crisis. Then he was shot by a deputy.		WTVR	Oct 6, 2023
55	133	WI	Waukesha County	5.2	99,525	0028.jpg	Bad	Fisherman arrested by warden with stun gun, claims arrest was racially motivated	-0.7170	WISN	2024-02-29 19:33:35
56	039	WY	Teton County	5.2	127,677	0029.jpg	Bad	Missing Idaho baby found dead by road; father in custody in connection with death of his wife	-0.3680	CBS News	2023-12-31 19:37:15
08	014	CO	Broomfield County	5.3	114,746	0030.jpg	Bad	The Manchester drugs empire that has come crashing down	-0.7650	Manchester Evening News	2024-03-10 19:37:21
27	171	MN	Wright County	5.3	95,259	0032.jpg	Bad	Seven People Hurt in Wright County Crash Wednesday	-0.5030	WJON	2024-03-28 19:33:46
49	043	UT	Summit County	5.4	132,358	0038.jpg	Bad	2 men killed in plane crash east of Slate Canyon	-0.3280	TownLift, Park City News	2023-11-30 19:33:54
55	109	WI	St. Croix County	5.4	97,589	0039.jpg	Bad	Gilman drug bust results in multiple felonies for SV man	-0.5490	Pierce County Journal	2023-06-30 19:33:57
08	039	CO	Elbert County	5.5	120,394	0040.jpg	Bad	Father fatally shot after fight with ex-girlfriend's fiancé during child custody exchange, Colorado police say		USA Today	Feb 13, 2024
24	013	MD	Carroll County	5.5	105,096	0041.jpg	Bad	Carroll County house fire starts from cigarettes discarded in trash can	-0.3880	WBFF	2024-03-17 19:34:04
39	165	OH	Warren County	5.5	104,523	0042.jpg	Bad	Warren man dies in early Monday single-car crash in Columbiana County	-0.3980	Mahoning Matters	2024-03-10 19:34:08
51	179	VA	Stafford County	5.5	134,456	0043.jpg	Bad	Fight turns deadly outside of Dumfries bar, man shot, killed	-0.7170	FOX 5 DC	2024-03-26 19:34:12
55	015	WI	Calumet County	5.5	85,589	0044.jpg	Bad	Man stabbed during online hookup gone wrong in Calumet County, Wis.	-0.6750	WBAY	2023-09-30 19:34:15
13	057	GA	Cherokee County	5.6	99,932	0045.jpg	Bad	Women accused of stealing over $100K in products from 20 Target stores in Georgia, other states	-0.7160	WSB-TV	2024-02-29 19:34:19
24	021	MD	Frederick County	5.6	116,796	0046.jpg	Bad	Baltimore man arrested for murder of 65-year-old found dead in car in Frederick County	-0.5460	CBS News	2024-03-10 19:37:32
36	059	NY	Nassau County	5.6	135,528	0047.jpg	Bad	Suspect At Large After Items Worth Thousands Stolen After Home Burglary In Jericho	-0.4440	Rutherford Daily Voice	2024-03-17 19:34:26
42	029	PA	Chester County	5.6	117,326	0048.jpg	Bad	Search for 6-year-old girl who fell into rain-swollen creek now considered recovery, not rescue	-0.0740	Minneapolis Star Tribune	2024-03-24T19:52:09Z
51	145	VA	Powhatan County	5.6	105,231	0049.jpg	Bad	Nonprofit sues Powhatan County for alleged housing discrimination	-0.5550	WWBT	2024-03-29 19:34:30
51	735	VA	Poquoson city	5.6	109,549	0050.jpg	Bad	York man charged in Williamsburg triple shooting: Police	-0.3790	WTKR	2024-01-31 19:37:36
27	163	MN	Washington County	5.7	107,649	0052.jpg	Bad	A Minnesota inmate was left to die by prison staff, lawsuit says	-0.8480	Washington Post	2024-01-31 19:37:39
31	153	NE	Sarpy County	5.8	98,619	0054.jpg	Bad	‘I would do it again’: Dad who smothered kids, tucked them back into bed, fled the state found guilty of their murders	-0.7230	Law and Crime News	2024-02-29 19:37:42
55	089	WI	Ozaukee County	5.8	97,778	0055.jpg	Bad	His brain was hurting': Cedarburg parents believe teen took his life after concussions	-0.5130	WISN Milwaukee	2024-03-30T04:46:19Z
12	109	FL	St. Johns County	5.9	103,757	0056.jpg	Bad	Flagler County deputy suffers serious injuries in motorcycle crash on I-95	-0.5600	WKMG	2024-03-10 19:37:46
17	111	IL	McHenry County	5.9	99,128	0058.jpg	Bad	Woodstock man accused of pointing loaded gun at man's head	-0.6380	Shaw Local	2024-02-29 19:37:50
34	037	NJ	Sussex County	5.9	111,308	0059.jpg	Bad	Murder Charges for Daniel Simpson for Killing his Father	-0.6290	TAPinto	2024-02-29 19:37:54
51	059	VA	Fairfax County	5.9	144,632	0061.jpg	Bad	Annandale man facing a dozen charges for 'brutal and horrifying' rapes of 2 women, police say	-0.9310	FOX 5 DC	2024-03-25 19:37:58
08	107	CO	Routt County	6.0	104,407	0062.jpg	Bad	Craig man charged with attempted escape after incident at Routt County jail	-0.4600	CraigDailyPress.com	2024-02-29 19:38:01
46	127	SD	Union County	6.0	85,677	0066.jpg	Bad	How US police are co-opting a law meant to protect victims of crime	-0.8610	Al Jazeera	2024-03-29 19:38:04
27	037	MN	Dakota County	6.1	97,727	0068.jpg	Bad	Update: One killed, one seriously injured in crash near Pine Island on Friday afternoon	-0.3840	Post Bulletin	2024-02-29 19:38:08
51	075	VA	Goochland County	6.1	113,617	0070.jpg	Bad	Driver charged with DUI manslaughter after deadly crash on I-64 in Goochland County	-0.5290	WRIC ABC 8News	2024-03-17 19:38:14
55	131	WI	Washington County	6.1	90,313	0071.jpg	Bad	2 people injured in crash on US Hwy 151 in neighboring Dodge Co., WI | By Sheriff Dale Schmidt	-0.1920	Washington County Insider	2024-03-10 19:38:17
06	061	CA	Placer County	6.2	106,114	0072.jpg	Bad	Exodus of state election workers posing a threat to democracy	-0.9300	Los Angeles Times	10/10/2023, 07:00 AM, +0000 UTC
27	079	MN	Le Sueur County	6.3	86,864	0076.jpg	Bad	Gaylord man arrested, faces possible 3rd degree murder charges in drug-related death	-0.5970	KEYC News Now	2024-03-24 19:38:24
36	079	NY	Putnam County	6.3	112,167	0078.jpg	Bad	Putnam anesthesiologist accused of drugging, sexually abusing woman		Westchester Journal News	Jan 3, 2024
08	047	CO	Gilpin County	6.4	89,805	0079.jpg	Bad	3 people hospitalized after shooting in the area of 17th Avenue, Gilpin Street in Denver		CBS News	Sep 18, 2023
08	097	CO	Pitkin County	6.4	111,291	0080.jpg	Bad	Aspen man faces kidnapping charge in domestic violence case		The Denver Post	April 18, 2023
49	011	UT	Davis County	6.4	103,143	0083.jpg	Bad	Davis County man accused of trying to have sex with girl who he believed was 13 years old		KUTV 2News	March 29, 2024
51	061	VA	Fauquier County	6.4	120,301	0084.jpg	Bad	Charlottesville woman killed in drunk driving crash	-0.6740	WINA.com	2024-03-04 2:08:39
25	021	MA	Norfolk County	6.5	115,770	0086.jpg	Bad	Quincy police chase ends in crash, drug charges for two men	-0.4090	Newport Dispatch	2024-02-01 2:08:46
36	091	NY	Saratoga County	6.5	93,341	0087.jpg	Bad	Man's murder of ex-partner spotlights need, availability of domestic violence services	-0.6370	WRGB	2024-03-01 2:08:53
44	009	RI	Washington County	6.5	99,015	0089.jpg	Bad	Prisoner attempts to smuggle drugs into detention center while awaiting murder trial	-0.3810	WLNE-TV (ABC6)	2024-03-01 2:08:59
49	045	UT	Tooele County	6.5	91,353	0090.jpg	Bad	Mauricio Johnson Sentenced to 150 years to Life in Prison for the Murder of Two Adults and a Juvenile	-0.6580	Redheaded Blackbelt	2023-11-01 2:09:06
08	059	CO	Jefferson County	6.6	102,413	0091.jpg	Bad	Kayaker dies after falling into Chatfield Reservoir	-0.1340	denverpost	2024-03-31 15:05:37
08	091	CO	Ouray County	6.6	90,837	0092.jpg	Bad	All newspapers with story alleging teen’s rape at Colorado police chief’s house are stolen	-0.8640	The Mercury News	2024-02-01 2:09:12
23	005	ME	Cumberland County	6.6	88,571	0094.jpg	Bad	Hurricane watch issued for parts of Maine as already rain-soaked New England braces for Lee	-0.2560	https://www.twincities.com/2023/09/13/hurricane-watch-issued-for-parts-of-maine-as-already-rain-soaked-new-england-braces-for-lee/	
33	011	NH	Hillsborough County	6.6	96,415	0095.jpg	Bad	Merrimack Man Indicted For Theft Of $140K From Manchester Restaurant	-0.4190	Patch	2024-03-27 2:09:18
34	005	NJ	Burlington County	6.6	100,188	0096.jpg	Bad	This Nationwide Theft Ring Allegedly Brought In Half A Billion Dollars From Stolen Catalytic Converters	-0.8110	https://www.huffpost.com/entry/catalytic-converter-theft_n_645160b3e4b0fe3b9bc757b8	2023-05-04 19:07:12
42	091	PA	Montgomery County	6.6	106,743	0097.jpg	Bad	Man, woman found guilty in murder-for-hire slaying of beloved teacher	-0.4550	NBC10 Philadelphia	2024-03-25 2:09:26
53	029	WA	Island County	6.6	82,717	0098.jpg	Bad	Ex-medical director at WA island for sex predators sexually harassed worker, suit says	-0.6810	Tacoma News Tribune	11/03/2023, 07:00 AM, +0000 UTC
19	017	IA	Bremer County	6.7	83,797	0100.jpg	Bad	Florida man facing charges for crash leading to Altoona man's death	-0.4320	KCCI	2023-09-01 2:10:05
01	117	AL	Shelby County	6.8	98,263	0103.jpg	Bad	Worst Jefferson County restaurant health ratings: Roaches in rice, poop in the sushi bar	-0.9010	AL.com	2024-02-01 2:10:12
12	089	FL	Nassau County	6.8	90,808	0104.jpg	Bad	Drivers shoot daughters in Florida road rage confrontation	-0.6030	The Indian Express	2022-10-17T16:45:12Z
17	043	IL	DuPage County	6.8	102,383	0105.jpg	Bad	Five Venezuelan Migrants Face Burglary Charges	-0.4420	Country Herald	2024-03-01 2:10:18
36	103	NY	Suffolk County	6.8	119,253	0106.jpg	Bad	Suspect in decade-old murders on New York's Long Island in custody	-0.1040	Devdiscourse	2023-07-14T18:52:52Z
39	103	OH	Medina County	6.8	89,108	0107.jpg	Bad	How Long Until A Library Worker Is Killed?	-0.6630	World News Era	2023-04-07 12:58:27
51	013	VA	Arlington County	6.8	131,020	0108.jpg	Bad	‘Not enough (officers) to catch the ones we don't get': DUI arrests down as deaths rise	-0.7360	NBC News	2023-09-01 2:57:56
16	013	ID	Blaine County	6.9	98,707	0109.jpg	Bad	The Surprisingly Filthy Reason Idaho Police Officers Can Pull You Over	-0.9240	Mix 106	2023-09-01 2:10:25
17	203	IL	Woodford County	6.9	85,892	0110.jpg	Bad	Mystery of father's death on train tracks lingers in Broadwell	-0.4920	The State Journal-Register	2024-01-01 2:10:33
51	041	VA	Chesterfield County	6.9	100,149	0113.jpg	Bad	Garage fire in Chesterfield damages multiple homes, structure a total loss	-0.5840	WRIC ABC 8News	2024-03-28 2:10:39
51	099	VA	King George County	6.9	100,092	0115.jpg	Bad	Teen found guilty of brutal murder in Prince George's County	-0.6790	YouTube	2024-03-01 2:10:46
27	059	MN	Isanti County	7.0	83,212	0123.jpg	Bad	James Turner charged in New Year's Day shooting that hurt 11-year-old Minneapolis girl	-0.5350	CBS News	2024-02-01 2:11:03
34	041	NJ	Warren County	7.0	97,729	0125.jpg	Bad	NJ man faces life in prison for sexual assault of young child	-0.8700	New Jersey 101.5	2023-12-01 2:11:09
02	195	AK	Petersburg Borough	7.1	76,641	0128.jpg	Bad	Petersburg counselors feeling spread thin, worried about anxiety levels among students	-0.9200	KFSK	2024-04-01 2:11:15
31	177	NE	Washington County	7.1	87,368	0131.jpg	Bad	Nebraska prosecutors to pursue death penalty in only one of two grisly small-town killings	-0.8980	CityNews Toronto	2024-03-01 2:11:21
06	069	CA	San Benito County	7.2	106,560	0135.jpg	Bad	Man accused of 2 Bay Area mass shootings remains jailed after preliminary hearing in Santa Cruz	-0.3520	Mercury News	2023-06-30 12:42:54
06	081	CA	San Mateo County	7.2	143,795	0136.jpg	Bad	Court records reveal inner workings of secretive Nuestra Familia prison gang as five are sentenced in RICO case	-0.1380	Mercury News	2022-11-01 18:18:23
08	037	CO	Eagle County	7.2	105,813	0137.jpg	Bad	Man arrested for allegedly driving recklessly in Edwards, firing shots out of vehicle	-0.4160	Denver7	2024-03-11 2:11:58
32	029	NV	Storey County	7.2	90,171	0138.jpg	Bad	Two killed in Storey County industrial park crash	-0.3440	KOLO	03/31/2023, 07:00 AM, +0000 UTC
44	005	RI	Newport County	7.2	92,795	0140.jpg	Bad	One dead, three injured in Middleborough house fire	-0.4580	Newport Dispatch	2024-03-01 2:12:04
51	069	VA	Frederick County	7.2	97,091	0143.jpg	Bad	Frederick man sentenced in cruelty case after Dalmatian had leg amputated	-0.5910	The Frederick News-Post	2024-02-01 2:12:11
02	068	AK	Denali Borough	7.3	90,897	0144.jpg	Bad	Alaska Teen Accused of Killing Her Friend After a Man She Met Online Offered Her $9 Million, Police Say	-0.4140	WNEP Scranton/Wilkes-Barre	06/18/2019, 07:00 AM, +0000 UTC
13	157	GA	Jackson County	7.3	82,138	0145.jpg	Bad	Highway crash in Toombs County leaves 2 dead, 2 in serious condition	-0.6060	WSAV-TV	2024-03-11 2:12:23
24	025	MD	Harford County	7.3	100,334	0147.jpg	Bad	Aberdeen man charged with several arsons in Harford County	-0.3950	WBAL-TV	2024-03-18 2:12:30
49	009	UT	Daggett County	7.3	66,427	0149.jpg	Bad	Utah Marine among 13 US service members killed in Kabul attack	-0.6830	KSLTV.com	2024-03-01 2:12:37
51	101	VA	King William County	7.3	82,715	0150.jpg	Bad	10 arrested for series of home invasions in Henrico, King William	-0.2000	WWBT	04/04/2014, 07:00 AM, +0000 UTC
08	019	CO	Clear Creek County	7.4	90,350	0152.jpg	Bad	Four of six officers facing charges in death of Christian Glass appear in Clear Creek County court	-0.3930	Colorado Community Media	12/13/2023, 08:00 AM, +0000 UTC
16	081	ID	Teton County	7.4	95,580	0154.jpg	Bad	Local man pleads guilty to murder, attempted murder charges in brutal attack on East Idaho couple	-0.7160	Idaho State Journal	10/21/2023, 07:00 AM, +0000 UTC
19	095	IA	Iowa County	7.4	72,948	0156.jpg	Bad	Linn County prosecutors being sued for alleged sexual misconduct	-0.8890	KCRG	11/17/2023, 08:00 AM, +0000 UTC
27	003	MN	Anoka County	7.4	92,249	0160.jpg	Bad	Suspect in deadly Minnesota shooting allegedly dressed as a UPS worker	-0.4880	NBC News	01/30/2024, 08:00 AM, +0000 UTC
31	155	NE	Saunders County	7.4	86,179	0161.jpg	Bad	Nebraska Man Who Stabbed Fiancée And Dog To Death As Her Kids Slept Gets Life	-0.7070	Oxygen	07/20/2022, 07:00 AM, +0000 UTC
33	013	NH	Merrimack County	7.4	84,898	0163.jpg	Bad	NH AG Files Civil Complaint Against Neo-Nazi Group	-0.5240	NH Journal	12/13/2023, 08:00 AM, +0000 UTC
37	029	NC	Camden County	7.4	82,620	0164.jpg	Bad	Camden domestic homicide leaves mother dead, father charged	-0.5550	WLTX.com	03/29/2024, 01:38 PM, +0000 UTC
02	150	AK	Kodiak Island Borough	7.5	83,222	0166.jpg	Bad	Orthodox Cathedral Desecrated During Vandalism Spree In Kodiak	-0.9290	Alaska Public Media News	06/11/2015, 07:00 AM, +0000 UTC
17	155	IL	Putnam County	7.5	83,029	0169.jpg	Bad	Attempted child abduction in Owen County	-0.6710	MyWabashValley.com	02/01/2024, 08:00 AM, +0000 UTC
19	011	IA	Benton County	7.5	82,762	0170.jpg	Bad	Deadly head-on crash in Benton County	-0.6580	KGAN TV	03/01/2024, 08:00 AM, +0000 UTC
27	055	MN	Houston County	7.5	76,170	0172.jpg	Bad	Even with solid weather, Minnesota's whitetail harvest continues to disappoint	-0.7420	Star Tribune	11/14/2023, 08:00 AM, +0000 UTC
27	157	MN	Wabasha County	7.5	78,953	0173.jpg	Bad	Millville man killed in Wabasha County crash	-0.3240	KTTC	07/20/2023, 07:00 AM, +0000 UTC
37	183	NC	Wake County	7.5	97,099	0174.jpg	Bad	Crime, violence up in NC schools with possession of drugs among highest concern	-0.9060	CBS17.com	01/31/2024, 08:00 AM, +0000 UTC
47	165	TN	Sumner County	7.5	87,453	0175.jpg	Bad	Catastrophic tornado outbreak in Middle Tennessee	-0.8620	WSMV 4	12/09/2023, 08:00 AM, +0000 UTC
55	061	WI	Kewaunee County	7.5	73,717	0177.jpg	Bad	Green Bay man who died in police shooting was released after abduction	-0.3350	Green Bay Press Gazette	11/20/2019, 08:00 AM, +0000 UTC
06	017	CA	El Dorado County	7.6	104,859	0178.jpg	Bad	Tax season can lead to increased mail theft: El Dorado County Sheriff’s Office	-0.5510	KTXL FOX 40 Sacramento	01/29/2024, 08:00 AM, +0000 UTC
18	081	IN	Johnson County	7.6	83,036	0179.jpg	Bad	Employee at Greenwood children’s therapy center confesses to molesting patients	-0.8090	FOX 59 Indianapolis	04/13/2023, 07:00 AM, +0000 UTC
31	159	NE	Seward County	7.6	77,778	0180.jpg	Bad	Our Dirty Water: Nebraska’s nitrate problem is growing worse. It’s likely harming our kids.	-0.9320	Flatwater Free Press	10/27/2022, 07:00 AM, +0000 UTC
34	015	NJ	Gloucester County	7.6	97,851	0181.jpg	Bad	Violence, drugs and bullying in all NJ schools: Camden County	-0.8700	New Jersey 101.5 FM	01/16/2024, 08:00 AM, +0000 UTC
48	261	TX	Kenedy County	7.6	43,274	0184.jpg	Bad	Karnes County Man Gets Sentenced to Life in Prison	-0.6140	STexasNews.com	05/07/2023, 07:00 AM, +0000 UTC
51	600	VA	Fairfax city	7.6	122,790	0186.jpg	Bad	Bat-wielding attacker injures Virginia congressman's district office staff	-0.5780	NBC News	05/15/2023, 07:00 AM, +0000 UTC
25	001	MA	Barnstable County	7.7	89,774	0193.jpg	Bad	Disturbing details of Cape Cod baby's 2021 killing revealed as dad faces murder charge	-0.8230	NBC Boston	11/20/2023, 08:00 AM, +0000 UTC
25	023	MA	Plymouth County	7.7	102,647	0194.jpg	Bad	‘Never in a million years thought this would happen': Man fatally shot at Brockton home	-0.7170	NBC Boston	03/31/2024, 09:14 PM, +0000 UTC
29	047	MO	Clay County	7.7	78,930	0195.jpg	Bad	Student in critical condition after brutal beating outside of Missouri school; 15-year-old charged	-0.8050	The Lion	03/12/2024, 07:00 AM, +0000 UTC
49	035	UT	Salt Lake County	7.7	91,713	0196.jpg	Bad	Salt Lake City Fire Department respond to possible apartment explosion	-0.5180	KSL NewsRadio	02/17/2024, 08:00 AM, +0000 UTC
02	090	AK	Fairbanks North Star Borough	7.8	84,166	0198.jpg	Bad	Man Dies in First Fatal Case of Alaskapox	-0.5920	MedicineNet	02/15/2024, 08:00 AM, +0000 UTC
08	119	CO	Teller County	7.8	81,466	0199.jpg	Bad	Houston Frost Bank teller Cecilia Brown on the run, accused of stealing $180K from 86-year-old Kirby Drive customer, HPD says	-0.5890	KTRK-TV	12/15/2023, 08:00 AM, +0000 UTC
18	087	IN	Lagrange County	7.8	81,010	0200.jpg	Bad	Victim of deadly LaGrange County house fire identified	-0.5140	WNDU	01/16/2024, 08:00 AM, +0000 UTC
19	031	IA	Cedar County	7.8	71,563	0201.jpg	Bad	GRAPHIC VIDEO: Dubuque County teens post video beating opossum to death, one person charged	-0.6830	KCRG	02/20/2024, 08:00 AM, +0000 UTC
19	091	IA	Humboldt County	7.8	71,521	0202.jpg	Bad	Grand Jury report says Humboldt County is not prepared for major disasters	-0.7540	KRCR	06/18/2023, 07:00 AM, +0000 UTC
20	015	KS	Butler County	7.8	80,214	0203.jpg	Bad	Homicide: 93-year-old Kansas woman found dead in her home	-0.3080	Hays Post	09/08/2023, 07:00 AM, +0000 UTC
20	197	KS	Wabaunsee County	7.8	68,435	0204.jpg	Bad	Alma wrestling coach arrested for alleged offenses against minors	-0.4970	KSNT News	12/19/2023, 08:00 AM, +0000 UTC
31	143	NE	Polk County	7.8	70,813	0205.jpg	Bad	‘A series of really bad choices’ led to 15-year-old’s death in Polk County driveway, sheriff says	-0.7310	WFLA	09/18/2023, 07:00 AM, +0000 UTC
48	367	TX	Parker County	7.8	95,277	0210.jpg	Bad	Doctor accused of groping, harassing 22 women let off easy by Texas law, critics say	-0.7830	Fort Worth Star-Telegram	04/14/2021, 07:00 AM, +0000 UTC
55	029	WI	Door County	7.8	72,296	0211.jpg	Bad	Wisconsin’s Door County voters are tired of politics and want better options	-0.8270	The Washington Post	11/19/2023, 08:00 AM, +0000 UTC
02	220	AK	Sitka Borough	7.9	90,345	0213.jpg	Bad	Sitka man indicted on three counts of murder in girlfriend's death	-0.4090	KCAW	05/09/2017, 07:00 AM, +0000 UTC
05	007	AR	Benton County	7.9	86,374	0214.jpg	Bad	Murder suspect accused of injuring three Benton County jail deputies	-0.6560	KNWA	01/06/2024, 08:00 AM, +0000 UTC
13	223	GA	Paulding County	7.9	87,459	0216.jpg	Bad	Paulding County deputy faces legal action alleging excessive force	-0.6840	GPB News	02/22/2023, 08:00 AM, +0000 UTC
08	053	CO	Hinsdale County	8.0	70,675	0224.jpg	Bad	Colorado ambulance services are on the verge of collapse, government report finds	-0.8570	KUNC	08/14/2023, 07:00 AM, +0000 UTC
13	067	GA	Cobb County	8.0	96,798	0227.jpg	Bad	Woman arrested for drug trafficking near daycares, schools, drug rehab center in Marietta	-0.3330	FOX 5 Atlanta	10/13/2023, 07:00 AM, +0000 UTC
13	085	GA	Dawson County	8.0	84,551	0228.jpg	Bad	Dawsonville man will spend life in prison for murder of Hannah Bender	-0.8190	AccessWDUN	12/16/2021, 08:00 AM, +0000 UTC
13	151	GA	Henry County	8.0	82,379	0229.jpg	Bad	Mother says her son was sexually assaulted inside a Henry County middle school classroom	-0.8960	WSB Atlanta	11/16/2023, 08:00 AM, +0000 UTC
16	001	ID	Ada County	8.0	87,748	0230.jpg	Bad	Canyon County law enforcement decries gang problem. But exactly how big is the issue?	-0.5900	Idaho Statesman	01/25/2024, 08:00 AM, +0000 UTC
16	041	ID	Franklin County	8.0	71,669	0231.jpg	Bad	Teen Allegedly Kidnapped and Held for Ransom After Breaking Into Car	-0.8420	TooFab	01/30/2024, 08:00 AM, +0000 UTC
19	167	IA	Sioux County	8.0	75,994	0232.jpg	Bad	One killed, another injured in Hwy 20 ATV accident in Calhoun County, IA	-0.4510	KTIV Siouxland's News Channel	03/01/2024, 08:00 AM, +0000 UTC
24	037	MD	St. Mary's County	8.0	112,154	0234.jpg	Bad	Child Killed, Two Other Children Ejected Following Fatal Crash In Leonardtown	-0.4950	Bay Net	03/16/2024, 07:00 AM, +0000 UTC
37	025	NC	Cabarrus County	8.0	79,649	0238.jpg	Bad	3 killed in crash, including 12-year-old boy, in Cabarrus County	-0.5310	WSOC Charlotte	09/22/2023, 07:00 AM, +0000 UTC
39	075	OH	Holmes County	8.0	75,226	0241.jpg	Bad	Why Did 'Amish Stud' Eli Weaver Plot to Have His Wife Murdered?	-0.5590	A&E	09/13/2023, 07:00 AM, +0000 UTC
17	189	IL	Washington County	8.1	71,958	0243.jpg	Bad	Washington County makes disaster declaration after severe storm damage	-0.6710	Belleville News-Democrat	07/01/2023, 07:00 AM, +0000 UTC
19	125	IA	Marion County	8.1	73,451	0244.jpg	Bad	Two accused of kidnapping, killing Marion woman	-0.5770	The Gazette	02/22/2024, 06:19 PM, +0000 UTC
31	099	NE	Kearney County	8.1	74,686	0247.jpg	Bad	Kearney man arrested after early morning assault leaves woman seriously injured	-0.5230	NTV	02/15/2024, 08:00 AM, +0000 UTC
49	003	UT	Box Elder County	8.1	79,450	0249.jpg	Bad	The Looming Drug Problem People Don't Talk About In Utah	-0.8670	104.3 WOW Country	03/06/2024, 08:00 AM, +0000 UTC
49	049	UT	Utah County	8.1	95,085	0250.jpg	Bad	Construction worker caught in Utah County trench collapse, seriously injured	-0.6100	Gephardt Daily	03/27/2024, 12:08 AM, +0000 UTC
08	093	CO	Park County	8.2	88,020	0251.jpg	Bad	Heavily armed man found dead in Colorado amusement park had apparent plan for mass shooting	-0.6970	NBC Boston	10/30/2023, 07:00 AM, +0000 UTC
17	027	IL	Clinton County	8.2	79,612	0252.jpg	Bad	First-degree murder charges filed against New Baden, Illinois, man accused of shooting his girlfriend	-0.5520	KSDK.com	11/06/2023, 08:00 AM, +0000 UTC
26	125	MI	Oakland County	8.2	90,801	0256.jpg	Bad	Oakland County businessman jailed in connection with 1999 rape on area golf course	-0.5450	Oakland Press	04/18/2023, 07:00 AM, +0000 UTC
31	167	NE	Stanton County	8.2	75,068	0261.jpg	Bad	Norfolk woman sentenced to prison after positive drug test	-0.5460	Norfolk Daily News	08/07/2023, 07:00 AM, +0000 UTC
