Table with column headers in rows 3 and 4											
State FIPS Code	County FIPS Code	Postal Code	Name	Poverty Percent, All Ages	Median Household Income	Image Found?	Headline Type	Headline	Sentiment Rating	Publisher	Date
48	013	TX	Atascosa County	16.2	59,817	2183.jpg	Good	Senate praises local peace officers	0.9240	Pleasanton Express	05/17/2023, 07:00 AM, +0000 UTC
48	125	TX	Dickens County	16.2	47,074	2184.jpg	Good	North Texas geologist honored for petroleum exploration prowess	0.8840	Times Record News	11/16/2023, 08:00 AM, +0000 UTC
48	135	TX	Ector County	16.2	64,868	2185.jpg	Good	Odessa Arts Lights Odessa Spire With Gay Pride Rainbow	0.3700	Odessa Headlines	06/28/2023, 07:00 AM, +0000 UTC
48	441	TX	Taylor County	16.2	61,798	2187.jpg	Good	A showcase of hard work and West Texas livestock show	0.9220	Midland Reporter-Telegram	01/09/2024, 08:00 AM, +0000 UTC
05	000	AR	Arkansas	16.3	55,505	2190.jpg	Good	Fun, Fashion, and Fast Horses: Oaklawn Park Comes Alive on Arkansas Derby Day	0.8470	America's Best Racing	03/30/2024, 08:08 PM, +0000 UTC
06	003	CA	Alpine County	16.3	71,646	2193.jpg	Good	Community events in San Diego County: From Gem Faire to Festival of Science & Engineering	0.2100	The San Diego Union-Tribune	02/23/2024, 08:00 AM, +0000 UTC
26	023	MI	Branch County	16.3	63,634	2198.jpg	Good	Coldwater Township Sunrise Rotary becomes first major sponsor for Cultural Jubilee	0.6810	WTVB	03/13/2024, 04:25 PM, +0000 UTC
26	143	MI	Roscommon County	16.3	49,151	2201.jpg	Good	Federal grants to fix up 8 Michigan parks—and preserve a big chunk of the Upper Peninsula	0.5980	The 'Gander	12/06/2023, 08:00 AM, +0000 UTC
32	021	NV	Mineral County	16.3	55,704	2202.jpg	Good	WNC announces James Kiley Memorial Scholarship	0.3470	Nevada Appeal	04/23/2023, 07:00 AM, +0000 UTC
48	017	TX	Bailey County	16.3	52,751	2207.jpg	Good	Crossroads Honor Rolls: Let's brag about our brilliant children	0.9610	Victoria Advocate	04/26/2020, 07:00 AM, +0000 UTC
51	159	VA	Richmond County	16.3	60,180	2209.jpg	Good	‘Didn’t have time to think’: Good Samaritans spring into action, saving several horses from barn fire	0.9030	WWBT	01/22/2024, 08:00 AM, +0000 UTC
51	840	VA	Winchester city	16.3	60,557	2210.jpg	Good	Winchester Public Schools retirees praised for service	0.8980	The Winchester Star	05/24/2018, 07:00 AM, +0000 UTC
01	073	AL	Jefferson County	16.4	61,996	2212.jpg	Good	Here's how to get an early start on celebrating the Magic City Classic	0.8930	AL.com	10/23/2023, 07:00 AM, +0000 UTC
04	005	AZ	Coconino County	16.4	64,016	2214.jpg	Good	Conservation windfall in Arizona: America the Beautiful Challenge funds key initiatives	0.8420	AZPM	11/15/2023, 08:00 AM, +0000 UTC
12	033	FL	Escambia County	16.4	61,634	2216.jpg	Good	Annual law enforcement torch run brings out hundreds to Escambia County Sheriff’s Office for a good cause	0.9580	Fox 10 News	03/25/2024, 06:35 PM, +0000 UTC
26	049	MI	Genesee County	16.4	57,443	2220.jpg	Good	After Detroit Lions playoff win, this Michigan candy store is offering a cool sale	0.9310	MLive.com	01/22/2024, 08:00 AM, +0000 UTC
29	171	MO	Putnam County	16.4	49,532	2225.jpg	Good	Putnam County Country Fest and 4-H Showcase Receives Rave Reviews	0.9490	Morning Ag Clips -	08/15/2023, 07:00 AM, +0000 UTC
36	105	NY	Sullivan County	16.4	63,733	2228.jpg	Good	Nonprofit's farm looks to promote healthy lifestyles	0.9270	Spectrum News	07/05/2023, 07:00 AM, +0000 UTC
37	081	NC	Guilford County	16.4	63,822	2229.jpg	Good	Guilford County Schools celebrates milestone of $2 billion bonds	0.8010	WGHP FOX8 Greensboro	08/24/2023, 07:00 AM, +0000 UTC
45	037	SC	Edgefield County	16.4	61,318	2233.jpg	Good	Old 96 District's Hidden Gems Shine During the Holidays	0.8750	Charlotte magazine	11/01/2021, 07:00 AM, +0000 UTC
48	201	TX	Harris County	16.4	68,748	2235.jpg	Good	Raised to be a giving person:' Owner of Texas Panhandle restaurant feeding firefighters battling wildfire for free	0.7450	KPRC Click2Houston	03/01/2024, 08:00 AM, +0000 UTC
54	091	WV	Taylor County	16.4	53,972	2236.jpg	Good	Taylor County, West Virginia students recognized for creativity in writing following annual competition	0.9020	WV News	03/20/2024, 04:00 AM, +0000 UTC
05	087	AR	Madison County	16.5	51,233	2238.jpg	Good	New Madison-based startup helps children find mental health services in 2 days	0.8410	Madison.com	11/20/2021, 08:00 AM, +0000 UTC
21	017	KY	Bourbon County	16.5	56,879	2240.jpg	Good	The future is bright for girl's hoops in Clark County, RDC 8th-graders finish season undefeated	0.9580	Winchester Sun	10/20/2023, 07:00 AM, +0000 UTC
22	019	LA	Calcasieu Parish	16.5	61,797	2241.jpg	Good	Occidental Petroleum Shares Climb After Winning DOE Grant for Carbon Capture Project	0.7340	Investopedia	08/11/2023, 07:00 AM, +0000 UTC
41	011	OR	Coos County	16.5	55,983	2243.jpg	Good	Oregon State University research enterprise continues upward trend	0.9270	Coos Bay World	09/30/2021, 07:00 AM, +0000 UTC
41	037	OR	Lake County	16.5	54,707	2244.jpg	Good	Oregon Now Boasts The World’s Largest International Dark Sky Sanctuary, With Plans To Expand	0.9030	Forbes	03/26/2024, 09:15 PM, +0000 UTC
13	199	GA	Meriwether County	16.6	53,019	2248.jpg	Good	The Salvation Army is a Godsend' to Locust Grove, GA	0.9300	The Salvation Army Emergency Disaster Services	01/23/2023, 08:00 AM, +0000 UTC
19	013	IA	Black Hawk County	16.6	62,020	2253.jpg	Good	Waterloo Community Foundation announces $50000 of grants to local non-profits	0.6570	kwwl.com	12/07/2023, 08:00 AM, +0000 UTC
47	157	TN	Shelby County	16.6	61,452	2261.jpg	Good	Memphis restaurants spread holiday joy by giving out free Christmas dinners	0.9660	FOX13 Memphis	12/24/2023, 08:00 AM, +0000 UTC
48	093	TX	Comanche County	16.6	51,559	2262.jpg	Good	Chamber delivers goody bags to Early ISD schools	0.6190	Austin American-Statesman	08/17/2019, 07:00 AM, +0000 UTC
48	331	TX	Milam County	16.6	54,667	2264.jpg	Good	It's really lit a fire under me': Rockdale man starts new art organization, helps local artists	0.9170	25 News KXXV and KRHD	03/26/2024, 11:51 PM, +0000 UTC
01	127	AL	Walker County	16.7	51,065	2267.jpg	Good	Good Samaritan Found Dead After Trying to Save Mom Whose Car Crashed Into River: 'True Hero'	0.6890	PEOPLE	10/12/2023, 07:00 AM, +0000 UTC
04	015	AZ	Mohave County	16.7	54,842	2269.jpg	Good	Good morning: Mohave County Fair was 'huge success'	0.9500	Today's News-Herald	09/25/2023, 07:00 AM, +0000 UTC
47	005	TN	Benton County	16.7	50,635	2274.jpg	Good	UT-TSU Extension Benton County Partners With Second Harvest Food Bank of Middle Tenn.	0.3210	Morning Ag Clips -	09/05/2023, 07:00 AM, +0000 UTC
05	047	AR	Franklin County	16.8	48,248	2279.jpg	Good	Inflation Reduction Act in Action | Farm Loans: From Tragedy to Hope	0.7590	Farmers.gov	07/05/2023, 07:00 AM, +0000 UTC
06	105	CA	Trinity County	16.8	49,485	2280.jpg	Good	Shasta County's LGBTQ+ community celebrates Pride month	0.8500	Record Searchlight	06/03/2023, 07:00 AM, +0000 UTC
21	009	KY	Barren County	16.8	50,658	2283.jpg	Good	Kentucky’s entertainment incentive creates investments in local communities	0.9410	WBKO	12/08/2023, 08:00 AM, +0000 UTC
28	117	MS	Prentiss County	16.8	49,217	2286.jpg	Good	Cat can't be denied, Bogue Chitto bests New Site to reach 2A title game - Daily Leader	0.7830	Dailyleader	02/27/2024, 08:00 AM, +0000 UTC
29	175	MO	Randolph County	16.8	48,762	2287.jpg	Good	Just happy to be alive	0.9210	Greensboro News & Record	07/15/2020, 07:11 AM, +0000 UTC
40	049	OK	Garvin County	16.8	49,245	2290.jpg	Good	Hangar offers hope for the future	0.7570	Pauls Valley Daily Democrat	10/11/2023, 07:00 AM, +0000 UTC
48	073	TX	Cherokee County	16.8	50,351	2291.jpg	Good	Cherokee artist is learning more about her Cherokee heritage	0.6300	Cherokee Phoenix	09/21/2023, 07:00 AM, +0000 UTC
12	017	FL	Citrus County	16.9	52,534	2295.jpg	Good	Goodwill's BookWorks program helps kids build their own libraries	0.9580	Bay News 9	12/28/2023, 08:00 AM, +0000 UTC
13	079	GA	Crawford County	16.9	60,295	2296.jpg	Good	Roberta artists celebrate classic pottery with Jugfest	0.3840	13WMAZ.com	05/19/2023, 07:00 AM, +0000 UTC
39	101	OH	Marion County	16.9	59,012	2298.jpg	Good	Anne Quilter promotes creativity through Marion Fine Art Society	0.7160	Marion Star	03/04/2024, 08:00 AM, +0000 UTC
40	117	OK	Pawnee County	16.9	54,690	2300.jpg	Good	Ten Oklahoma Skilled Nursing and Assisted Living Facilities Receive National Awards for Quality Improvement	0.9410	Oklahoma City Sentinel	06/05/2023, 07:00 AM, +0000 UTC
41	019	OR	Douglas County	16.9	55,837	2301.jpg	Good	Joy of Gardening conference draws enthusiastic crowd to OSU	0.8870	OSU Extension Service	07/24/2023, 09:29 PM, +0000 UTC
47	039	TN	Decatur County	16.9	52,294	2303.jpg	Good	‘Barrels of Love’ collection day helps restock food pantries	0.8800	WHNT News 19	03/01/2024, 08:00 AM, +0000 UTC
47	077	TN	Henderson County	16.9	53,822	2304.jpg	Good	Raiders support local heroes ahead of Super Bowl LVIII	0.7850	Raiders.com	02/02/2024, 08:00 AM, +0000 UTC
47	131	TN	Obion County	16.9	50,159	2306.jpg	Good	UT Welcomes New Class of Distinguished Tennessean Scholars	0.9410	University of Tennessee, Knoxville - News	05/26/2023, 07:00 AM, +0000 UTC
48	151	TX	Fisher County	16.9	57,867	2310.jpg	Good	GCMS/Fisher Middle School wrestling claims regional title, advances 11 grapplers to sectionals	0.7870	Ford County Chronicle	02/24/2024, 08:00 AM, +0000 UTC
53	047	WA	Okanogan County	16.9	58,661	2312.jpg	Good	Okanogan County Non-Profit Receives Grant To Expand Child Care Services	0.8640	KPQ	12/20/2023, 08:00 AM, +0000 UTC
01	125	AL	Tuscaloosa County	17.0	60,875	2315.jpg	Good	GOP presidential debate site in Tuscaloosa has rich musical history	0.6990	Tuscaloosa Magazine	11/29/2023, 08:00 AM, +0000 UTC
13	319	GA	Wilkinson County	17.0	49,648	2318.jpg	Good	Meet the three women laying the foundation for a new, pro-Black city in central Georgia	0.7920	Atlanta Magazine	04/21/2022, 07:00 AM, +0000 UTC
22	055	LA	Lafayette Parish	17.0	58,641	2319.jpg	Good	UL Lafayette gets largest funding award in its history for energy resilience initiative	0.9390	Daily Advertiser	10/24/2023, 07:00 AM, +0000 UTC
37	157	NC	Rockingham County	17.0	52,494	2320.jpg	Good	Press Release: Davidson County highways receive award	0.3770	Davidson Local	03/25/2024, 09:15 AM, +0000 UTC
45	003	SC	Aiken County	17.0	67,728	2325.jpg	Good	Aiken Center for the Arts named a 2023 'Angel' for its charitable efforts	0.9440	The Post and Courier	11/16/2023, 08:00 AM, +0000 UTC
45	065	SC	McCormick County	17.0	56,636	2326.jpg	Good	A McCormick County school gives students a unique educational experience	0.9450	WJBF-TV	08/06/2023, 07:00 AM, +0000 UTC
21	219	KY	Todd County	17.1	53,280	2335.jpg	Good	Aluminum company to expand in Todd County, create 140 jobs - ABC 36 News	0.6250	WTVQ	01/11/2022, 08:00 AM, +0000 UTC
40	121	OK	Pittsburg County	17.1	47,930	2339.jpg	Good	Signups underway for Pittsburg County Community Thanksgiving Dinner	0.0970	Mcalester News Capital	11/07/2023, 08:00 AM, +0000 UTC
47	059	TN	Greene County	17.1	50,410	2341.jpg	Good	Greene County native harvests rare multiple-bearded turkey	0.5520	WJHL-TV News Channel 11	04/21/2023, 07:00 AM, +0000 UTC
01	069	AL	Houston County	17.2	56,842	2343.jpg	Good	Dothan Field Office Team Determined to Serve and Protect	0.8480	Alabama Board of Pardons and Paroles	05/03/2023, 07:00 AM, +0000 UTC
05	049	AR	Fulton County	17.2	42,588	2344.jpg	Good	A New Dawn for Healthcare in Salem: Fulton County Hospital Joins Forces with Baxter Health	0.8960	Medriva	02/29/2024, 08:00 AM, +0000 UTC
06	035	CA	Lassen County	17.2	60,308	2345.jpg	Good	"California's Creative Response: Musical Initiative and Art Projects Tackle Health and Climate Awareness"	0.7910	SierraDailyNews.com	03/25/2024, 03:31 PM, +0000 UTC
21	225	KY	Union County	17.2	58,223	2346.jpg	Good	‘Like my own little family.’ Marching band poll winners are ‘The Pride of the Mountains.’	0.4580	Lexington Herald Leader	10/10/2023, 07:00 AM, +0000 UTC
26	035	MI	Clare County	17.2	47,973	2347.jpg	Good	Fascinating week of brilliant programing at the Fleadh Cheoil (VIDEOS)	0.9440	IrishCentral	08/31/2016, 07:00 AM, +0000 UTC
36	061	NY	New York County	17.2	95,514	2348.jpg	Good	A 'Revolutionary' Way to Feed the World That's Very Old	0.9490	The New York Times	01/26/2024, 08:00 AM, +0000 UTC
39	013	OH	Belmont County	17.2	55,573	2350.jpg	Good	Powerball drawing was good to Ohio!	0.9760	Yahoo! Voices	03/10/2024, 08:00 AM, +0000 UTC
48	409	TX	San Patricio County	17.2	62,919	2354.jpg	Good	$1.4 million contributed for matches on Day of Giving	0.7200	STexasNews.com	11/10/2023, 08:00 AM, +0000 UTC
51	700	VA	Newport News city	17.2	63,350	2355.jpg	Good	CRR runners fare well at Newport News races	0.9100	Daily Press	03/08/2024, 08:00 AM, +0000 UTC
05	119	AR	Pulaski County	17.3	57,057	2359.jpg	Good	Arkansas jail receives funding for mental health services	0.4560	THV11.com KTHV	08/24/2023, 07:00 AM, +0000 UTC
17	183	IL	Vermilion County	17.3	52,083	2360.jpg	Good	This Danville School is leading East-Central Illinois in improving reading skills for Black students	0.9700	IPM Newsroom	11/01/2023, 07:00 AM, +0000 UTC
29	143	MO	New Madrid County	17.3	48,162	2364.jpg	Good	Groundbreaking held in New Madrid for new facility focused on cleaning up environment	0.7540	KFVS	02/17/2022, 08:00 AM, +0000 UTC
45	021	SC	Cherokee County	17.3	50,403	2370.jpg	Good	Pride in product: Cherokee's cannabis operation	0.8500	Cherokee One Feather	07/20/2023, 07:00 AM, +0000 UTC
48	303	TX	Lubbock County	17.3	59,138	2372.jpg	Good	Texas Tech President shares pride, excitement for Goin' Band trip to NYC	0.8920	Fox 34	11/22/2023, 08:00 AM, +0000 UTC
08	003	CO	Alamosa County	17.4	53,942	2375.jpg	Good	Small but mighty LGBTQ+ Pride celebration returns to the San Luis Valley	0.9010	Rocky Mountain PBS	08/26/2022, 07:00 AM, +0000 UTC
21	101	KY	Henderson County	17.4	55,530	2377.jpg	Good	‘I love our fight.’ Henderson County joins Ballard in softball state championship game.	0.5870	Lexington Herald Leader	06/11/2023, 07:00 AM, +0000 UTC
35	027	NM	Lincoln County	17.4	54,344	2380.jpg	Good	Helping Hands Outreach Center ready to serve Lincoln City	0.7200	Newport News Times	11/16/2023, 08:00 AM, +0000 UTC
36	075	NY	Oswego County	17.4	59,335	2381.jpg	Good	Oswego should continue to be a city of refuge	0.8520	oswegocountynewsnow.com	02/02/2024, 08:00 AM, +0000 UTC
39	007	OH	Ashtabula County	17.4	52,468	2382.jpg	Good	Samaritan House one step closer to opening new facility	0.8980	The Star Beacon	12/28/2023, 08:00 AM, +0000 UTC
40	149	OK	Washita County	17.4	54,789	2383.jpg	Good	Washita County Owner Receives Centennial Farm Award	0.7970	KECO 96.5FM	01/25/2024, 08:00 AM, +0000 UTC
45	071	SC	Newberry County	17.4	55,050	2384.jpg	Good	‘It’s a joy to come to work’: Woman opens hot dog stand at 85 years old	0.9030	Live 5 News WCSC	09/19/2023, 07:00 AM, +0000 UTC
48	049	TX	Brown County	17.4	53,455	2387.jpg	Good	6 innovative startups that are kicking CO2 out of cement and concrete	0.9490	Canary Media	10/24/2023, 07:00 AM, +0000 UTC
48	067	TX	Cass County	17.4	54,276	2388.jpg	Good	East Texas veteran service organizations awarded grants totaling over $1.8 million	0.6570	Tyler Morning Telegraph	09/14/2023, 05:27 PM, +0000 UTC
48	401	TX	Rusk County	17.4	55,085	2389.jpg	Good	Here is Why People Seem to Love This Local Pharmacy in Tyler, TX	0.9470	knue.com	08/10/2023, 07:00 AM, +0000 UTC
55	079	WI	Milwaukee County	17.4	58,375	2391.jpg	Good	Get out of the house and enjoy Milwaukee-area museums for discounted prices	0.9520	WISN Milwaukee	01/21/2024, 08:00 AM, +0000 UTC
12	063	FL	Jackson County	17.5	50,625	2393.jpg	Good	Mother says 4-year-old daughter found by good Samaritan after walking away from Clay County school following mistake	0.2090	WJXT News4JAX 	08/15/2023, 07:00 AM, +0000 UTC
17	029	IL	Coles County	17.5	57,712	2394.jpg	Good	Hijab-wearing NCAA tourney players hope to inspire others	0.8060	Journal Gazette / Times-Courier	03/29/2024, 09:45 PM, +0000 UTC
40	041	OK	Delaware County	17.5	54,799	2398.jpg	Good	Oklahoma game warden hailed as hero after rescuing man sucked into water vortex	0.9030	Fox News	05/26/2022, 07:00 AM, +0000 UTC
48	391	TX	Refugio County	17.5	50,936	2400.jpg	Good	Beeville Volunteer Fire Department celebrates arrival of new fire truck	0.7510	KRIS 6 News Corpus Christi	08/03/2023, 07:00 AM, +0000 UTC
48	457	TX	Tyler County	17.5	50,722	2401.jpg	Good	Season openers spell success for Tyler County teams	0.8610	East Texas News	08/31/2023, 07:00 AM, +0000 UTC
01	093	AL	Marion County	17.6	47,742	2402.jpg	Good	Alabama artist leads volunteers in bringing joy, creativity to Marion	0.9490	Alabama NewsCenter	04/29/2021, 07:00 AM, +0000 UTC
06	045	CA	Mendocino County	17.6	63,621	2404.jpg	Good	Video: Karate instructors stop attempted carjacking in Oakland	0.1250	KTVU FOX 2 San Francisco	09/26/2023, 07:00 AM, +0000 UTC
28	109	MS	Pearl River County	17.6	55,830	2406.jpg	Good	Miss Pearl River County, a Miss Mississippi contestant, has a program to help grieving kids	0.4460	AOL	01/19/2024, 05:16 PM, +0000 UTC
29	021	MO	Buchanan County	17.6	56,751	2408.jpg	Good	Success story: Home cook turns restaurant owner in rural Missouri town	0.7510	AgUpdate	03/27/2024, 08:00 PM, +0000 UTC
36	013	NY	Chautauqua County	17.6	55,644	2411.jpg	Good	CCPEG Awards 14 Grants Totaling $242000 for Development Projects Across Chautauqua County	0.6490	Chautauqua County	01/04/2024, 08:00 AM, +0000 UTC
37	099	NC	Jackson County	17.6	58,491	2412.jpg	Good	One State Rolled Out a Promising Child Care Model. Now Others Are Replicating It.	0.9480	EdSurge	01/30/2024, 08:00 AM, +0000 UTC
29	167	MO	Polk County	17.7	53,693	2422.jpg	Good	State leaders praise public service of Missouri firefighters	0.9620	Jefferson City News Tribune	04/06/2022, 07:00 AM, +0000 UTC
37	013	NC	Beaufort County	17.7	54,415	2424.jpg	Good	Beaufort County Early College High School one of eight in NC to receive special honor	0.9760	WNCT	09/19/2023, 07:00 AM, +0000 UTC
06	029	CA	Kern County	17.8	65,981	2426.jpg	Good	West Kern Consortium Schools reap benefits for students, see success	0.9670	KERO 23 ABC News Bakersfield	11/15/2023, 08:00 AM, +0000 UTC
08	071	CO	Las Animas County	17.8	49,097	2427.jpg	Good	A homeless recovery campus on the plains is so successful Colorado is making more	0.9760	The Colorado Sun	10/16/2023, 07:00 AM, +0000 UTC
13	215	GA	Muscogee County	17.8	53,740	2428.jpg	Good	Georgia deputy praised for saving drowning children	0.9450	FOX 5 Atlanta	07/05/2022, 07:00 AM, +0000 UTC
13	285	GA	Troup County	17.8	55,852	2429.jpg	Good	Clemson Signing Day: Tigers add another four-star DB with Tavoy Feagin	0.4420	Sports Illustrated	12/20/2023, 08:00 AM, +0000 UTC
13	305	GA	Wayne County	17.8	51,102	2430.jpg	Good	Georgia high school teacher receives 'Oscars of Teaching' award	0.8900	ValdostaToday.com	01/22/2024, 08:00 AM, +0000 UTC
21	217	KY	Taylor County	17.8	52,414	2433.jpg	Good	Taylor County girls wrestling reigns supreme, Woodford County earns 2 titles at state meet	0.8660	Lexington Herald Leader	02/20/2024, 08:00 AM, +0000 UTC
30	087	MT	Rosebud County	17.8	64,003	2435.jpg	Good	Governor Gianforte Highlights Investments, Leaders Building A Stronger Future for Montana	0.8360	the State of Montana NewsRoom	06/16/2023, 07:00 AM, +0000 UTC
40	003	OK	Alfalfa County	17.9	58,045	2444.jpg	Good	Oklahoma ranch teams compete and raise funds for Children's Hospital Foundation	0.8510	Oklahoman.com	08/30/2020, 07:00 AM, +0000 UTC
45	023	SC	Chester County	17.9	53,488	2445.jpg	Good	State legislature recognizes Clemson Extension farm and art tour for its impact	0.9580	Clemson News	05/04/2023, 07:00 AM, +0000 UTC
54	099	WV	Wayne County	17.9	52,540	2451.jpg	Good	George Washington, Morgantown, Nitro, Wayne earn Tuesday wins at West Virginia state girls basketball tournament	0.2240	WV News	03/05/2024, 08:00 AM, +0000 UTC
06	023	CA	Humboldt County	18.0	57,660	2453.jpg	Good	How California is working to elevate Native American students	0.9260	CalMatters	03/04/2024, 08:00 AM, +0000 UTC
27	087	MN	Mahnomen County	18.0	52,926	2459.jpg	Good	A historic investment in Minnesota kids	0.9670	Star Tribune	10/07/2023, 07:00 AM, +0000 UTC
28	003	MS	Alcorn County	18.0	49,627	2460.jpg	Good	Alcorn County: Small-town charm, big-time opportunities make county great place to be	0.9210	Northeast Mississippi Daily Journal	09/05/2023, 07:00 AM, +0000 UTC
41	033	OR	Josephine County	18.0	54,983	2464.jpg	Good	Grants Pass drilling company receives prestigious small business award	0.9020	KDRV	04/18/2023, 07:00 AM, +0000 UTC
45	059	SC	Laurens County	18.0	53,847	2465.jpg	Good	Laurens Electric awards students the 'trip of a lifetime'	0.9310	GoLaurens.Com	03/25/2024, 02:00 PM, +0000 UTC
47	183	TN	Weakley County	18.0	49,815	2467.jpg	Good	Following The Data To Create A Blueprint For Post-Pandemic Student Recovery And Success	0.7910	Forbes	03/24/2024, 09:52 PM, +0000 UTC
48	083	TX	Coleman County	18.0	45,834	2468.jpg	Good	Coleman Police Department gets cuddly new recruits	0.5950	MyFoxZone.com KIDY	02/16/2021, 08:00 AM, +0000 UTC
08	021	CO	Conejos County	18.1	49,141	2472.jpg	Good	San Luis Great Outdoors receives $137K grant for trails	0.5770	Valley Courier	03/15/2024, 03:10 PM, +0000 UTC
13	307	GA	Webster County	18.1	45,987	2475.jpg	Good	Baseball Recap: Terrell County picks up fourth straight win at home	0.5380	MaxPreps	03/30/2024, 10:25 PM, +0000 UTC
26	145	MI	Saginaw County	18.1	54,064	2477.jpg	Good	Community revitalization project in Merrill wins national recognition at Mid-America Economic Development Council ...	0.9590	Michigan Economic Development Corporation	01/09/2024, 08:00 AM, +0000 UTC
